mm,med_Glass
0.8,17.42095312
2.1,12.9973624
3.2,9.917601279
4.3,7.26465963
5.4,5.561570209
6.5,4.643774153
7.6,3.891356662
8.7,3.486292215
9.8,2.982354798
10.9,2.702881295
12,2.307592756
13.1,1.972264461
14.2,1.848039625
15.3,1.699959797
16.4,1.472206417
17.5,1.339587797
18.6,1.254732609
19.7,1.138159004
20.8,1.122218691
21.9,1.073687465
23,0.95162118
24.1,0.91543915
25.2,0.84629591
26.3,0.780474659
27.4,0.730401702
28.5,0.660880342
30.8,0.509542951
31.9,0.532769384
33,0.504308155
34.1,0.486948242
35.2,0.411418795
36.3,0.445282692
37.4,0.43809173
38.5,0.394445099
39.6,0.375354393
40.7,0.364920405
41.8,0.309169048
42.9,0.342149862
44,0.336515949
45.1,0.313042498
46.2,0.256939563
