mm,Glass_psqc
0.8,21.40834547
2.1,21.73359196
3.2,20.20540354
4.3,20.73278389
5.4,19.62123575
6.5,19.17788558
7.6,17.37502669
8.7,15.77270691
9.8,13.39591014
10.9,10.55205828
12,9.068242287
13.1,7.374981285
14.2,6.442872403
15.3,5.512474446
16.4,4.854697795
17.5,4.535678413
18.6,4.068801018
19.7,3.813479929
20.8,3.581717478
21.9,3.319407221
23,3.167812421
24.1,2.85172085
25.2,2.747550566
26.3,2.553578652
27.4,2.479878199
28.5,2.484007163
30.8,2.077965298
31.9,1.977497907
33,1.90133959
34.1,1.82961497
35.2,2.085009203
36.3,1.374763265
37.4,1.289463817
38.5,1.232379136
39.6,1.102441331
40.7,1.053711277
41.8,0.965577138
42.9,1.002287867
44,0.961532168
45.1,0.921385433
46.2,0.926189316
