mm,small_Glass
0.8,18.51551079
2.1,14.4632928
3.2,9.727233994
4.3,7.354420393
5.4,5.436926007
6.5,4.206889633
7.6,3.199451033
8.7,2.381545094
9.8,1.946080837
10.9,1.697579652
12,1.359321137
13.1,1.197841378
14.2,1.040507225
15.3,1.015135141
16.4,0.92198315
17.5,0.906209975
18.6,0.848071189
19.7,0.834637386
20.8,0.845237027
21.9,0.891658681
23,0.896929159
24.1,0.943790146
25.2,0.951731408
26.3,1.020741988
27.4,1.106942523
28.5,1.18706912
30.8,1.21422762
31.9,1.263856089
33,1.283497961
34.1,1.296122969
35.2,1.225156464
36.3,1.26082182
37.4,1.178701034
38.5,1.190675778
39.6,1.173373531
40.7,1.130799011
41.8,1.161500951
42.9,1.094164178
44,1.064749081
45.1,1.049547224
46.2,1.037082946
